pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-163,b,Kepler-163 b,Transit,0,2,7.81093700,0.00010700,-0.00010700,0,3,0.078000,,,0,1,,,,,0,,,,,0,,,,,0,,0.094,0.039,-0.039,0,3,,,,,0,0,1,0,19h40m00.68s,+46d59m14.4s,295.002819,0.000019,46.987328,0.000017,2,703.69,10.19,-10.19,0,3,14.415,,0,Kepler-band,14.380,,0,5776.00,200.00,-200.00,0,6,,,,,2,0.92,0.38,-0.38,0,6,1,2014-05-14,Kepler
Kepler-163,c,Kepler-163 c,Transit,0,2,21.34726200,0.00008100,-0.00008100,0,4,0.152000,,,0,1,,,,,0,,,,,0,,,,,0,,0.202,0.084,-0.084,0,3,,,,,0,0,1,0,19h40m00.68s,+46d59m14.4s,295.002819,0.000019,46.987328,0.000017,2,703.69,10.19,-10.19,0,3,14.415,,0,Kepler-band,14.380,,0,5776.00,200.00,-200.00,0,6,,,,,2,0.92,0.38,-0.38,0,6,1,2014-05-14,Kepler
Kepler-164,b,Kepler-164 b,Transit,0,3,5.03503000,0.00002700,-0.00002700,0,3,0.058000,,,0,1,,,,,0,,,,,0,,,,,0,,0.126,0.025,-0.025,0,3,,,,,0,0,1,0,19h11m07.40s,+47d37m47.7s,287.780828,0.000019,47.629913,0.000017,2,914.18,14.09,-14.09,0,3,14.282,,0,Kepler-band,14.233,,0,5888.00,113.00,-113.00,0,6,,,,,2,1.15,0.22,-0.22,0,6,1,2014-05-14,Kepler
Kepler-164,c,Kepler-164 c,Transit,0,3,10.94572300,0.00002900,-0.00002900,0,4,0.097000,,,0,1,,,,,0,,,,,0,,,,,0,,0.244,0.046,-0.046,0,3,,,,,0,0,1,0,19h11m07.40s,+47d37m47.7s,287.780828,0.000019,47.629913,0.000017,2,914.18,14.09,-14.09,0,3,14.282,,0,Kepler-band,14.233,,0,5888.00,113.00,-113.00,0,6,,,,,2,1.15,0.22,-0.22,0,6,1,2014-05-14,Kepler
Kepler-164,d,Kepler-164 d,Transit,0,3,28.98676900,0.00016200,-0.00016200,0,4,0.187000,,,0,1,,,,,0,,,,,0,,,,,0,,0.219,0.042,-0.042,0,3,,,,,0,0,1,0,19h11m07.40s,+47d37m47.7s,287.780828,0.000019,47.629913,0.000017,2,914.18,14.09,-14.09,0,3,14.282,,0,Kepler-band,14.233,,0,5888.00,113.00,-113.00,0,6,,,,,2,1.15,0.22,-0.22,0,6,1,2014-05-14,Kepler
Kepler-165,b,Kepler-165 b,Transit,0,2,8.18084800,0.00002600,-0.00002600,0,4,0.072000,,,0,1,,,,,0,,,,,0,,,,,0,,0.207,0.126,-0.126,0,3,,,,,0,0,1,0,18h42m45.84s,+47d48m35.0s,280.691016,0.000017,47.809735,0.000017,2,570.07,6.42,-6.42,0,3,14.802,,0,Kepler-band,14.794,,0,5211.00,200.00,-200.00,0,7,,,,,1,0.77,0.47,-0.47,0,6,1,2014-05-14,Kepler
Kepler-165,c,Kepler-165 c,Transit,0,2,15.31299000,0.00005700,-0.00005700,0,4,0.110000,,,0,1,,,,,0,,,,,0,,,,,0,,0.199,0.120,-0.120,0,3,,,,,0,0,1,0,18h42m45.84s,+47d48m35.0s,280.691016,0.000017,47.809735,0.000017,2,570.07,6.42,-6.42,0,3,14.802,,0,Kepler-band,14.794,,0,5211.00,200.00,-200.00,0,7,,,,,1,0.77,0.47,-0.47,0,6,1,2014-05-14,Kepler
Kepler-166,b,Kepler-166 b,Transit,0,3,7.65025400,0.00001200,-0.00001200,0,4,0.072000,,,0,1,,,,,0,,,,,0,,,,,0,,0.203,0.104,-0.104,0,3,,,,,0,0,1,0,19h32m38.44s,+48d52m52.3s,293.160171,0.000017,48.881191,0.000017,2,614.16,7.56,-7.56,0,3,14.701,,0,Kepler-band,14.685,,0,5413.00,200.00,-200.00,0,6,,,,,1,0.74,0.38,-0.38,0,6,1,2014-05-14,Kepler
Kepler-166,c,Kepler-166 c,Transit,0,3,34.26028100,0.00012400,-0.00012400,0,4,0.195000,,,0,1,,,,,0,,,,,0,,,,,0,,0.212,0.110,-0.110,0,3,,,,,0,1,1,0,19h32m38.44s,+48d52m52.3s,293.160171,0.000017,48.881191,0.000017,2,614.16,7.56,-7.56,0,3,14.701,,0,Kepler-band,14.685,,0,5413.00,200.00,-200.00,0,6,,,,,1,0.74,0.38,-0.38,0,6,1,2014-05-14,Kepler
Kepler-167,b,Kepler-167 b,Transit,0,4,4.39316320,0.00000460,-0.00000450,0,5,0.048300,0.001700,-0.002500,0,2,0.000000,,,0,1,89.330,0.470,-0.800,0,1,,,,,0,,0.144,0.004,-0.004,0,4,,,,,0,0,1,0,19h30m38.03s,+38d20m43.5s,292.658441,0.000017,38.345413,0.000017,2,330.00,10.00,-10.00,0,4,14.023,,0,Kepler-band,14.000,,0,4890.00,50.00,-50.00,0,7,0.77,0.02,-0.03,0,3,0.73,0.02,-0.01,0,7,1,2016-03-10,Kepler
